store_id,region,store_name,store_x,store_y,store_addr,store_addr_new,store_tel,open_hours,website,s_link
22543,경기,망향비빔국수 본점,38.023804,127.109353,경기도 연천군 청산면 궁평리 231-2,경기도 연천군 청산면 궁평로 5,0318353575,,,267484
22544,경기,고래성손두부,37.992861,126.865921,경기도 연천군 장남면 자작리 47-1,경기도 연천군 장남로 98 고래성손두부 ,0318355745,,,274094
22545,경기,황해냉면,38.060272,127.009777,경기도 연천군 왕징면 68-3,경기도 연천군 왕징면 왕산로  80 ,0318337470,,,482415
22546,경기,고향손칼국수,38.111649,127.075563,경기도 연천군 연천읍 현가리 31-12,경기 연천군 연천읍 연천로 390,031-834-3389,,,267489
22547,경기,불탄소 가든,38.062171,127.121992,경기도 연천군 연천읍 고문리 832,,031-834-2770,,,267487
22548,경기,대교 여울목,37.989681,126.920691,경기도 연천군 백학면 노곡리 609,,031-835-2528,,,267491
22549,경기,황지참게매운탕,38.057936,127.029503,경기도 연천군 군남면 황지리 1036,경기 연천군 군남면 군남로 24,031-833-4595,,,362014
22550,경기,소담돈까스,38.026363,127.067466,경기도 연천군 전곡읍 전곡리 480-34 ,경기도 연천군 전곡로161번길 5 ,0318352173,,,872686
22551,경기,민속촌오리장작구이,38.040408,126.987891,경기도 연천군 미산면 유촌리 533-1,,031-833-7579,,,267492
22552,경기,가산우렁쌈밥,37.989541,127.087949,경기도 연천군 청산면 초성리 23,경기도 연천군 청산면 청신로 285,031-835-2004,,,367668
22553,경기,양평해장국,38.014781,127.075845,경기 연천군 전곡읍 전곡리 45-3,,031-832-0040,,,267486
22554,경기,돈통마늘보쌈 전곡점,38.028968,127.067249,경기도 연천군 전곡읍 전곡리 457-43,경기 연천군 전곡읍 전곡로188번길 11,031-833-5353,,,267485
22555,경기,청산흑가마,37.994862,127.071829,경기도 연천군 청산면 초성리 179-1,경기 연천군 청산면 학담로 61,031-835-4950,,,482431
22556,경기,명신반점,38.024138,127.069743,경기도 연천군 전곡읍 전곡리 305-4,경기 연천군 전곡읍 전곡역로 61,031-832-2307,,,482387
